Prodct,Prodct Id,Question,Answer
Clothing_Shoes_and_Jewelry,1617160040,How many people can use the software?,Not allowed to be re sold.  It's for your family only.
Clothing_Shoes_and_Jewelry,B0000E0150,would this be a good base layer for skiing?,It is very thin & light weight. Good for layering.
Clothing_Shoes_and_Jewelry,B0000E0150,what is it made of?,It appears to be a nylon type fabric. Does keep you warm but tears easily.
Clothing_Shoes_and_Jewelry,B0000E0150,what is it made of?,100% silk.  It is slightly sheer because very thin.
Clothing_Shoes_and_Jewelry,B0000E0150,Does it have the hole in the sleeves for thumbs?  Thank you.,"No, it does not have thumb holes."
Clothing_Shoes_and_Jewelry,B0000E0150,Does it have the hole in the sleeves for thumbs?  Thank you.,"No, just regular long sleeves."
Clothing_Shoes_and_Jewelry,B0000E016E,is it 100% silk,"Yes, 100% silk."
Clothing_Shoes_and_Jewelry,B0000E016E,is it 100% silk,yes it is. but the sizing of the longjohns is ridiculous.
Clothing_Shoes_and_Jewelry,B0000E016E,is it 100% silk,Yes  !00% silk.  Made in Japan.
Clothing_Shoes_and_Jewelry,B0000E016E,is it 100% silk,"Hi - Yes, and it's great!"
Clothing_Shoes_and_Jewelry,B0000E016E,is it 100% silk,Yes! They are so light and comfortable. You will enjoy them.
Clothing_Shoes_and_Jewelry,B0000E016E,"Do these run like panty hose and do they run to size, i.e. is large really large","They have a loose fit. If you want them to fit like panty hose, order a size or two down."
Clothing_Shoes_and_Jewelry,B0000E016E,"Do these run like panty hose and do they run to size, i.e. is large really large","Unfortunately YES they do run like pantyhose.  And yes, large is true to size large."
Clothing_Shoes_and_Jewelry,B0000E016E,"Do these run like panty hose and do they run to size, i.e. is large really large",Yes they do run. They are true to size.
Clothing_Shoes_and_Jewelry,B0001ZNZK6,do you have a sizing chart?,Here is the updated size chart from ExOfficio: http://www.exofficio.com/customer-service/sizing
Clothing_Shoes_and_Jewelry,B0001ZNZK6,do you have a sizing chart?,New link for sizing info 5/3/2015: http://www.exofficio.com/garment-info/sizing
Clothing_Shoes_and_Jewelry,B0001ZNZK6,do you have a sizing chart?,Here is a cached image of the official exofficio sizing chart: http://i.imgur.com/TMq52MM.png Hope this helps.
Clothing_Shoes_and_Jewelry,B0001ZNZK6,do you have a sizing chart?,Do you have  a  sizing chart
Clothing_Shoes_and_Jewelry,B0001ZNZK6,IS THERE AN OPEN FLY AREA?,Yes they have the traditional pull apart opening like most briefs
Clothing_Shoes_and_Jewelry,B0001ZNZK6,IS THERE AN OPEN FLY AREA?,"Yes, similar to the open fly area in most briefs."
Clothing_Shoes_and_Jewelry,B0001ZNZK6,Do they ride up as you wear them throughout the day?,"No they do not, they stay pretty much where they should be, comfortable and they breath not like the cotton....."
Clothing_Shoes_and_Jewelry,B0001ZNZK6,Do they ride up as you wear them throughout the day?,"Andre, they were snug enough on his leg so they did not.  There was a hem on the leg which helps, not like some of the boxer briefs which do not have a hem.  Hope that helps."
Clothing_Shoes_and_Jewelry,B0001ZNZK6,Do they ride up as you wear them throughout the day?,No. No wedgie. No codsack rub.
Clothing_Shoes_and_Jewelry,B0001ZNZK6,Do they ride up as you wear them throughout the day?,"no, they do not ride up......"
Clothing_Shoes_and_Jewelry,B0001ZNZK6,Does it stretch or Shrink after wash?,The legs in particular stretch out over several washes.  Did not notice any stretch or shrink after a single wash though.
Clothing_Shoes_and_Jewelry,B00AI8J3NY,Does the jacket have a drawstring on the bottom to keep out the cold?,No it does not.
Clothing_Shoes_and_Jewelry,B0001ZNZK6,Does it stretch or Shrink after wash?,No they don't. They feel the same as the day you got them after you wash them.
Clothing_Shoes_and_Jewelry,B00029BKAI,Do these have a drawstring?,Yes they do. It's on the inside of the waistband
Clothing_Shoes_and_Jewelry,B00029BKAI,Do these have a drawstring?,Yes they do have a drawstring.  It has never came out and is still in good condition after over 100 washes.
Clothing_Shoes_and_Jewelry,B00029BKAI,Are these leggings for adult men?,"Yes, these leggings are for the adults. But they can also be worn by teens, too...as long as inseams and waist size fit."
Clothing_Shoes_and_Jewelry,B00029BKAI,Will these leggings work in windy 20-40 degrees F weather? How low can the temp go before they become ineffective? usually a NIKE guy but may try UA,They work very well in cold weather. Not sure about low 20's but legs are fine while running in upper 20's/low 30's.
Clothing_Shoes_and_Jewelry,B00064V6LM,How stretchy are these shorts? i am looking for something with not a lot of stretch,The shorts are stretchy.
Clothing_Shoes_and_Jewelry,B00064V6LM,How stretchy are these shorts? i am looking for something with not a lot of stretch,They have quite a but of stretch---they fit pretty skintight
Clothing_Shoes_and_Jewelry,B00064V6LM,does it fit according to size,"Yes, they fit well."
Clothing_Shoes_and_Jewelry,B0007QCOTM,Has anyone used this for carry on?  Does it meet size requirements?  It's hard to be sure based on dimensions.,"Carry on would be fine. Depending on how you pack, it may need to go in the overhead compartment."
Clothing_Shoes_and_Jewelry,B0007QCOTM,Has anyone used this for carry on?  Does it meet size requirements?  It's hard to be sure based on dimensions.,Its smaller than luggage i have used for carry on.
Clothing_Shoes_and_Jewelry,B0007QCOTM,does this backpack have a laptop sleeve?,"You could put a laptop in one of the two main compartments, but it wouldn't be very snug like a dedicated sleeve."
Clothing_Shoes_and_Jewelry,B0007QCOTM,does this backpack have a laptop sleeve?,No but it has plent of room for a laptop to fit in �
Clothing_Shoes_and_Jewelry,B0007QCOTM,is there a outside water bottle holder?,Yes there is a open top  6 1/2 long by 5 in. wide mesh pocket on the side with elastic circling the top. It will hold a large water bottle.
Clothing_Shoes_and_Jewelry,B0007QCOTM,are they padded on the inside for laptops?,Yes there is some padding in the back panel of this back pack.
